,SEASON_DESCRIPTION,REGION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),B,BVic,BYam,H3N2v
115,Season 2017-18,Maine,1172.0,55.0,316.0,0.0,33.0,115.0,0.0
116,Season 2017-18,Maryland,8114.0,591.0,1911.0,10.0,139.0,760.0,0.0
117,Season 2017-18,Massachusetts,491.0,31.0,156.0,2.0,0.0,2.0,0.0
118,Season 2017-18,Michigan,1067.0,95.0,588.0,58.0,7.0,174.0,0.0
119,Season 2017-18,Minnesota,7624.0,170.0,2828.0,2.0,52.0,577.0,0.0
120,Season 2017-18,Mississippi,432.0,80.0,127.0,2.0,0.0,75.0,0.0
121,Season 2017-18,Missouri,822.0,51.0,205.0,0.0,7.0,104.0,0.0
122,Season 2017-18,Montana,736.0,50.0,294.0,6.0,30.0,122.0,0.0
123,Season 2017-18,Nebraska,288.0,9.0,108.0,9.0,1.0,18.0,1.0
124,Season 2017-18,Nevada,844.0,24.0,314.0,4.0,1.0,222.0,0.0
125,Season 2017-18,New Hampshire,462.0,37.0,176.0,1.0,8.0,70.0,0.0
126,Season 2017-18,New Jersey,1059.0,103.0,294.0,180.0,20.0,31.0,0.0
127,Season 2017-18,New Mexico,1660.0,41.0,447.0,28.0,0.0,280.0,0.0
128,Season 2017-18,New York,4102.0,232.0,1422.0,153.0,17.0,384.0,0.0
129,Season 2017-18,North Carolina,749.0,41.0,157.0,10.0,25.0,68.0,0.0
130,Season 2017-18,North Dakota,1148.0,72.0,619.0,8.0,32.0,214.0,0.0
131,Season 2017-18,Ohio,2560.0,189.0,922.0,127.0,5.0,199.0,0.0
132,Season 2017-18,Oklahoma,1117.0,100.0,213.0,53.0,4.0,60.0,0.0
133,Season 2017-18,Oregon,867.0,136.0,185.0,389.0,0.0,4.0,0.0
134,Season 2017-18,Pennsylvania,1711.0,85.0,493.0,5.0,40.0,227.0,0.0
135,Season 2017-18,Rhode Island,440.0,13.0,136.0,0.0,1.0,38.0,0.0
136,Season 2017-18,South Carolina,876.0,55.0,203.0,15.0,2.0,60.0,0.0
137,Season 2017-18,South Dakota,1305.0,40.0,514.0,12.0,24.0,190.0,0.0
138,Season 2017-18,Tennessee,2261.0,2.0,212.0,157.0,0.0,3.0,0.0
139,Season 2017-18,Texas,1655.0,79.0,263.0,162.0,2.0,78.0,0.0
140,Season 2017-18,Utah,1333.0,85.0,620.0,15.0,71.0,249.0,0.0
141,Season 2017-18,Vermont,379.0,22.0,156.0,58.0,0.0,0.0,0.0
142,Season 2017-18,Virginia,1858.0,183.0,533.0,72.0,34.0,226.0,0.0
143,Season 2017-18,Washington,914.0,97.0,231.0,73.0,4.0,132.0,0.0
144,Season 2017-18,West Virginia,704.0,64.0,276.0,12.0,37.0,134.0,0.0
145,Season 2017-18,Wisconsin,4996.0,125.0,1057.0,0.0,12.0,374.0,0.0
146,Season 2017-18,Wyoming,743.0,39.0,142.0,16.0,2.0,107.0,0.0
147,Season 2018-19,Alabama,529.0,42.0,162.0,1.0,20.0,0.0,0.0
148,Season 2018-19,Alaska,4805.0,718.0,912.0,98.0,0.0,0.0,0.0
149,Season 2018-19,Arizona,2292.0,1191.0,628.0,0.0,30.0,22.0,0.0
150,Season 2018-19,Arkansas,497.0,74.0,69.0,0.0,2.0,0.0,0.0
151,Season 2018-19,California,8869.0,2991.0,1306.0,35.0,33.0,37.0,0.0
152,Season 2018-19,Colorado,1540.0,520.0,541.0,5.0,15.0,3.0,0.0
153,Season 2018-19,Connecticut,1260.0,560.0,300.0,1.0,4.0,26.0,0.0
154,Season 2018-19,Delaware,3156.0,439.0,411.0,4.0,8.0,5.0,0.0
155,Season 2018-19,Georgia,1718.0,228.0,511.0,2.0,13.0,3.0,0.0
156,Season 2018-19,Hawaii,2639.0,701.0,358.0,2.0,205.0,25.0,0.0
157,Season 2018-19,Idaho,1619.0,858.0,492.0,1.0,7.0,10.0,0.0
158,Season 2018-19,Illinois,2516.0,445.0,164.0,0.0,4.0,10.0,0.0
159,Season 2018-19,Indiana,846.0,287.0,285.0,0.0,11.0,7.0,0.0
160,Season 2018-19,Iowa,2147.0,468.0,420.0,1.0,27.0,10.0,0.0
161,Season 2018-19,Kansas,415.0,70.0,156.0,0.0,0.0,0.0,0.0
162,Season 2018-19,Kentucky,578.0,107.0,246.0,0.0,1.0,2.0,0.0
163,Season 2018-19,Louisiana,2284.0,175.0,317.0,45.0,101.0,0.0,0.0
164,Season 2018-19,Maine,666.0,284.0,51.0,0.0,74.0,4.0,0.0
165,Season 2018-19,Maryland,7285.0,2352.0,1453.0,1.0,98.0,41.0,0.0
166,Season 2018-19,Massachusetts,828.0,432.0,166.0,3.0,0.0,0.0,0.0
167,Season 2018-19,Michigan,1100.0,453.0,359.0,13.0,39.0,24.0,0.0
168,Season 2018-19,Minnesota,2961.0,760.0,348.0,0.0,15.0,20.0,0.0
169,Season 2018-19,Mississippi,663.0,25.0,292.0,0.0,2.0,2.0,0.0
170,Season 2018-19,Missouri,232.0,43.0,29.0,1.0,6.0,1.0,0.0
171,Season 2018-19,Montana,1162.0,272.0,239.0,6.0,64.0,8.0,0.0
172,Season 2018-19,Nebraska,270.0,56.0,82.0,0.0,6.0,3.0,0.0
173,Season 2018-19,Nevada,500.0,159.0,105.0,0.0,1.0,1.0,0.0
174,Season 2018-19,New Hampshire,593.0,205.0,84.0,0.0,11.0,21.0,0.0
175,Season 2018-19,New Jersey,907.0,281.0,251.0,1.0,3.0,0.0,0.0
176,Season 2018-19,New Mexico,1888.0,687.0,306.0,0.0,9.0,7.0,0.0
177,Season 2018-19,New York,3337.0,932.0,987.0,14.0,32.0,10.0,0.0
178,Season 2018-19,North Carolina,672.0,120.0,122.0,0.0,3.0,4.0,0.0
179,Season 2018-19,North Dakota,1118.0,556.0,209.0,2.0,49.0,7.0,0.0
180,Season 2018-19,Ohio,3103.0,751.0,970.0,12.0,7.0,9.0,0.0
181,Season 2018-19,Oklahoma,735.0,78.0,158.0,0.0,6.0,2.0,0.0
182,Season 2018-19,Oregon,520.0,171.0,244.0,0.0,0.0,0.0,0.0
183,Season 2018-19,Pennsylvania,1660.0,370.0,358.0,52.0,2.0,1.0,0.0
184,Season 2018-19,Rhode Island,339.0,91.0,35.0,1.0,4.0,1.0,0.0
185,Season 2018-19,South Carolina,904.0,108.0,222.0,0.0,8.0,0.0,0.0
186,Season 2018-19,South Dakota,1186.0,307.0,372.0,9.0,18.0,3.0,0.0
187,Season 2018-19,Tennessee,1367.0,56.0,198.0,0.0,1.0,0.0,0.0
188,Season 2018-19,Texas,1929.0,230.0,440.0,45.0,44.0,12.0,0.0
189,Season 2018-19,Utah,1194.0,389.0,405.0,2.0,9.0,1.0,0.0
190,Season 2018-19,Vermont,427.0,214.0,139.0,0.0,4.0,1.0,0.0
191,Season 2018-19,Virginia,1885.0,490.0,495.0,2.0,18.0,18.0,0.0
192,Season 2018-19,Washington,996.0,299.0,249.0,6.0,6.0,4.0,0.0
