,REGION,TOTAL SPECIMENS,A (2009 H1N1),A (H1),B,H3N2v,Season
135,Rhode Island,0.0,0.0,0.0,0.0,0.0,Season 2012-13
136,South Carolina,7413.0,32.0,0.0,291.0,0.0,Season 2012-13
137,South Dakota,4921.0,9.0,0.0,250.0,0.0,Season 2012-13
138,Tennessee,1862.0,17.0,0.0,150.0,0.0,Season 2012-13
139,Texas,40748.0,51.0,0.0,3278.0,0.0,Season 2012-13
140,Utah,23989.0,74.0,0.0,1670.0,0.0,Season 2012-13
141,Vermont,119.0,0.0,0.0,8.0,0.0,Season 2012-13
142,Virginia,4970.0,10.0,0.0,328.0,0.0,Season 2012-13
143,Washington,15075.0,42.0,0.0,216.0,0.0,Season 2012-13
144,West Virginia,13584.0,28.0,0.0,668.0,3.0,Season 2012-13
145,Wisconsin,4015.0,20.0,0.0,367.0,17.0,Season 2012-13
146,Wyoming,1129.0,11.0,0.0,127.0,0.0,Season 2012-13
147,Alabama,2843.0,108.0,0.0,17.0,0.0,Season 2013-14
148,Alaska,3392.0,532.0,0.0,82.0,0.0,Season 2013-14
149,Arizona,4868.0,1336.0,0.0,414.0,0.0,Season 2013-14
150,Arkansas,2334.0,161.0,0.0,7.0,0.0,Season 2013-14
151,California,21205.0,1120.0,0.0,307.0,0.0,Season 2013-14
152,Colorado,16891.0,2343.0,0.0,83.0,0.0,Season 2013-14
153,Connecticut,11411.0,689.0,0.0,284.0,0.0,Season 2013-14
154,Delaware,4914.0,653.0,0.0,196.0,0.0,Season 2013-14
155,Georgia,28831.0,280.0,0.0,711.0,0.0,Season 2013-14
156,Hawaii,13157.0,899.0,0.0,540.0,0.0,Season 2013-14
157,Idaho,498.0,374.0,0.0,4.0,0.0,Season 2013-14
158,Illinois,5151.0,452.0,0.0,84.0,1.0,Season 2013-14
159,Indiana,3971.0,382.0,0.0,14.0,7.0,Season 2013-14
160,Iowa,1400.0,598.0,0.0,22.0,1.0,Season 2013-14
161,Kansas,113.0,66.0,0.0,0.0,0.0,Season 2013-14
162,Kentucky,3855.0,281.0,0.0,17.0,0.0,Season 2013-14
163,Louisiana,4144.0,805.0,0.0,183.0,0.0,Season 2013-14
164,Maine,980.0,302.0,0.0,60.0,0.0,Season 2013-14
165,Maryland,4402.0,1317.0,0.0,152.0,0.0,Season 2013-14
166,Massachusetts,2095.0,204.0,0.0,67.0,0.0,Season 2013-14
167,Michigan,630.0,330.0,0.0,26.0,0.0,Season 2013-14
168,Minnesota,10479.0,1250.0,0.0,133.0,0.0,Season 2013-14
169,Mississippi,2407.0,131.0,0.0,26.0,0.0,Season 2013-14
170,Missouri,15427.0,420.0,0.0,40.0,0.0,Season 2013-14
171,Montana,3967.0,415.0,0.0,20.0,0.0,Season 2013-14
172,Nebraska,2312.0,273.0,0.0,16.0,0.0,Season 2013-14
173,Nevada,1350.0,358.0,0.0,87.0,0.0,Season 2013-14
174,New Hampshire,1289.0,304.0,0.0,82.0,0.0,Season 2013-14
175,New Jersey,0.0,0.0,0.0,0.0,0.0,Season 2013-14
176,New Mexico,1439.0,261.0,0.0,12.0,0.0,Season 2013-14
177,New York,38331.0,1543.0,0.0,1325.0,0.0,Season 2013-14
178,North Carolina,619.0,229.0,0.0,11.0,0.0,Season 2013-14
179,North Dakota,2737.0,159.0,0.0,35.0,0.0,Season 2013-14
180,Ohio,3332.0,296.0,0.0,42.0,0.0,Season 2013-14
181,Oklahoma,6902.0,541.0,0.0,62.0,0.0,Season 2013-14
182,Oregon,1107.0,444.0,0.0,4.0,0.0,Season 2013-14
183,Pennsylvania,8094.0,991.0,0.0,283.0,0.0,Season 2013-14
184,Rhode Island,0.0,0.0,0.0,0.0,0.0,Season 2013-14
185,South Carolina,4618.0,197.0,0.0,118.0,0.0,Season 2013-14
186,South Dakota,4711.0,487.0,0.0,62.0,0.0,Season 2013-14
187,Tennessee,4240.0,486.0,0.0,28.0,0.0,Season 2013-14
188,Texas,43778.0,1620.0,0.0,932.0,0.0,Season 2013-14
189,Utah,21247.0,1159.0,0.0,309.0,0.0,Season 2013-14
190,Vermont,124.0,73.0,0.0,1.0,0.0,Season 2013-14
191,Virginia,4727.0,510.0,0.0,78.0,0.0,Season 2013-14
192,Washington,13688.0,1090.0,0.0,112.0,0.0,Season 2013-14
193,West Virginia,12247.0,1014.0,0.0,27.0,0.0,Season 2013-14
194,Wisconsin,3804.0,647.0,0.0,62.0,0.0,Season 2013-14
195,Wyoming,922.0,231.0,0.0,10.0,0.0,Season 2013-14
196,Alabama,8800.0,0.0,0.0,213.0,0.0,Season 2014-15
197,Alaska,4487.0,4.0,0.0,187.0,0.0,Season 2014-15
198,Arizona,7437.0,5.0,0.0,234.0,0.0,Season 2014-15
199,Arkansas,4336.0,0.0,0.0,224.0,0.0,Season 2014-15
200,California,48893.0,30.0,0.0,1299.0,0.0,Season 2014-15
201,Colorado,20168.0,18.0,0.0,734.0,0.0,Season 2014-15
202,Connecticut,16224.0,5.0,0.0,365.0,0.0,Season 2014-15
203,Delaware,5928.0,5.0,0.0,71.0,0.0,Season 2014-15
204,Georgia,37005.0,3.0,0.0,1151.0,0.0,Season 2014-15
205,Hawaii,15451.0,18.0,0.0,655.0,0.0,Season 2014-15
206,Idaho,1953.0,2.0,0.0,58.0,0.0,Season 2014-15
207,Illinois,20467.0,6.0,0.0,895.0,0.0,Season 2014-15
208,Indiana,8120.0,5.0,0.0,181.0,0.0,Season 2014-15
209,Iowa,5427.0,8.0,0.0,344.0,0.0,Season 2014-15
210,Kansas,7987.0,0.0,0.0,351.0,0.0,Season 2014-15
211,Kentucky,8994.0,2.0,0.0,169.0,0.0,Season 2014-15
212,Louisiana,12761.0,3.0,0.0,563.0,0.0,Season 2014-15
213,Maine,4365.0,0.0,0.0,150.0,0.0,Season 2014-15
214,Maryland,9008.0,4.0,0.0,252.0,0.0,Season 2014-15
215,Massachusetts,13488.0,4.0,0.0,279.0,0.0,Season 2014-15
216,Michigan,25507.0,2.0,0.0,813.0,0.0,Season 2014-15
217,Minnesota,22450.0,5.0,0.0,763.0,0.0,Season 2014-15
218,Mississippi,5161.0,0.0,0.0,186.0,0.0,Season 2014-15
219,Missouri,27663.0,2.0,0.0,325.0,0.0,Season 2014-15
220,Montana,6183.0,6.0,0.0,86.0,0.0,Season 2014-15
221,Nebraska,4955.0,0.0,0.0,154.0,0.0,Season 2014-15
222,Nevada,1066.0,1.0,0.0,43.0,0.0,Season 2014-15
223,New Hampshire,1247.0,3.0,0.0,34.0,0.0,Season 2014-15
