,REGION,ILITOTAL,TOTAL PATIENTS,Season,A_H1,A_H3,BVic,BYam,A_2009_H1N1,Total_Tested,B,H3N2v,ILI_Percent,A_H1_Percent,A_H3_Percent,BVic_Percent,BYam_Percent,A_2009_H1N1_Percent,B_Percent,H3N2v_Percent
71,Mississippi,21459.0,704144.0,11.0,0.0,,,,8.0,842.0,8.0,0.0,0.030475300506714535,0.0,,,,0.009501187648456057,0.009501187648456057,0.0
72,Missouri,4741.0,320747.0,11.0,0.0,,,,8.0,10717.0,14.0,0.0,0.014781120322247753,0.0,,,,0.000746477559018382,0.0013063357282821686,0.0
73,Montana,204.0,102397.0,11.0,0.0,,,,39.0,706.0,10.0,0.0,0.0019922458665781223,0.0,,,,0.05524079320113314,0.014164305949008499,0.0
74,Nebraska,2649.0,126929.0,11.0,0.0,,,,11.0,1081.0,11.0,0.0,0.020869935160601597,0.0,,,,0.010175763182238668,0.010175763182238668,0.0
75,Nevada,5443.0,580166.0,11.0,0.0,,,,106.0,1134.0,54.0,0.0,0.009381797623438808,0.0,,,,0.09347442680776014,0.047619047619047616,0.0
76,New Hampshire,370.0,213937.0,11.0,0.0,,,,7.0,449.0,40.0,0.0,0.00172948110892459,0.0,,,,0.015590200445434299,0.08908685968819599,0.0
77,New Jersey,1659.0,229932.0,11.0,0.0,,,,0.0,0.0,0.0,0.0,0.007215176660925839,,,,,,,
78,New Mexico,7419.0,348804.0,11.0,0.0,,,,68.0,844.0,13.0,0.0,0.021269824887329272,0.0,,,,0.08056872037914692,0.015402843601895734,0.0
79,New York,2783.0,531230.0,11.0,0.0,,,,144.0,11016.0,151.0,0.0,0.0052387854601585,0.0,,,,0.013071895424836602,0.013707334785766159,0.0
80,North Carolina,6604.0,725750.0,11.0,0.0,,,,48.0,630.0,3.0,0.0,0.009099552187392352,0.0,,,,0.0761904761904762,0.004761904761904762,0.0
81,North Dakota,909.0,146818.0,11.0,0.0,,,,12.0,159.0,6.0,0.0,0.006191338936642646,0.0,,,,0.07547169811320754,0.03773584905660377,0.0
82,Ohio,3612.0,646180.0,11.0,0.0,,,,5.0,3264.0,17.0,0.0,0.005589773747253088,0.0,,,,0.0015318627450980392,0.005208333333333333,0.0
83,Oklahoma,2903.0,137403.0,11.0,0.0,,,,192.0,2323.0,4.0,0.0,0.02112763185665524,0.0,,,,0.08265174343521309,0.0017219113215669393,0.0
84,Oregon,1551.0,150904.0,11.0,0.0,,,,71.0,940.0,26.0,0.0,0.01027805757302656,0.0,,,,0.07553191489361702,0.027659574468085105,0.0
85,Pennsylvania,7844.0,765597.0,11.0,0.0,,,,69.0,7425.0,178.0,0.0,0.01024559918599472,0.0,,,,0.009292929292929294,0.023973063973063972,0.0
86,Rhode Island,604.0,278612.0,11.0,0.0,,,,0.0,0.0,0.0,0.0,0.002167889394570227,,,,,,,
87,South Carolina,1065.0,306427.0,11.0,0.0,,,,38.0,3170.0,21.0,0.0,0.0034755422988183154,0.0,,,,0.011987381703470032,0.006624605678233439,0.0
88,South Dakota,2478.0,243504.0,11.0,0.0,,,,14.0,3157.0,16.0,0.0,0.010176424206583875,0.0,,,,0.004434589800443459,0.005068102629078239,0.0
89,Tennessee,3808.0,537922.0,11.0,0.0,,,,11.0,846.0,3.0,0.0,0.007079093251437941,0.0,,,,0.013002364066193853,0.0035460992907801418,0.0
90,Texas,38557.0,1893707.0,11.0,0.0,,,,330.0,23388.0,230.0,0.0,0.02036059432636622,0.0,,,,0.014109799897383273,0.009834102958782282,0.0
91,Utah,15375.0,760686.0,11.0,0.0,,,,1013.0,13706.0,87.0,0.0,0.020212019151134634,0.0,,,,0.07390923683058515,0.006347584999270393,0.0
92,Vermont,2378.0,128594.0,11.0,0.0,,,,3.0,53.0,1.0,0.0,0.01849230912795309,0.0,,,,0.05660377358490566,0.018867924528301886,0.0
93,Virginia,42371.0,3403962.0,11.0,0.0,,,,12.0,2408.0,19.0,0.0,0.012447553762351049,0.0,,,,0.0049833887043189366,0.007890365448504983,0.0
94,Washington,2370.0,275817.0,11.0,0.0,,,,199.0,12023.0,731.0,0.0,0.00859265382481863,0.0,,,,0.016551609415287365,0.060800133078266656,0.0
95,West Virginia,3456.0,562757.0,11.0,0.0,,,,10.0,6805.0,4.0,0.0,0.006141194156625328,0.0,,,,0.0014695077149155032,0.0005878030859662013,0.0
96,Wisconsin,1129.0,159870.0,11.0,0.0,,,,56.0,4430.0,161.0,0.0,0.007061987865140427,0.0,,,,0.012641083521444696,0.0363431151241535,0.0
97,Wyoming,1565.0,213724.0,11.0,0.0,,,,22.0,613.0,5.0,0.0,0.007322528120379555,0.0,,,,0.03588907014681892,0.008156606851549755,0.0
98,Alabama,20581.0,549110.0,12.0,0.0,,,,7.0,3442.0,76.0,0.0,0.037480650507184354,0.0,,,,0.0020337013364323067,0.022080185938407902,0.0
99,Alaska,1010.0,97146.0,12.0,0.0,,,,10.0,3879.0,245.0,0.0,0.010396722458979268,0.0,,,,0.002577984016499098,0.0631606084042279,0.0
