,REGION,ILITOTAL,TOTAL PATIENTS,Season,A_H1,A_H3,BVic,BYam,A_2009_H1N1,Total_Tested,B,H3N2v,ILI_Percent,A_H1_Percent,A_H3_Percent,BVic_Percent,BYam_Percent,A_2009_H1N1_Percent,B_Percent,H3N2v_Percent
275,New York,5767.0,401388.0,15.0,0.0,96.0,167.0,91.0,894.0,12186.0,35.0,0.0,0.014367644274367944,0.0,0.007877892663712457,0.013704250779583128,0.0074675857541441,0.07336287543082226,0.0028721483669785,0.0
276,North Carolina,9955.0,519545.0,15.0,0.0,28.0,26.0,22.0,173.0,931.0,9.0,0.0,0.0191609966412919,0.0,0.03007518796992481,0.027926960257787327,0.023630504833512353,0.1858216970998926,0.00966702470461869,0.0
277,North Dakota,250.0,45530.0,15.0,0.0,12.0,11.0,35.0,145.0,264.0,0.0,0.0,0.005490885130683066,0.0,0.045454545454545456,0.041666666666666664,0.13257575757575757,0.5492424242424242,0.0,0.0
278,Ohio,6522.0,732901.0,15.0,0.0,50.0,45.0,42.0,374.0,3319.0,19.0,6.0,0.008898882659458781,0.0,0.015064778547755347,0.013558300692979813,0.012654413980114493,0.11268454353721,0.005724615848147032,0.0018077734257306419
279,Oklahoma,5316.0,225820.0,15.0,0.0,10.0,3.0,11.0,27.0,1739.0,8.0,0.0,0.02354087326189,0.0,0.005750431282346176,0.0017251293847038527,0.0063254744105807935,0.015526164462334674,0.004600345025876941,0.0
280,Oregon,2295.0,174417.0,15.0,0.0,30.0,0.0,4.0,67.0,1335.0,185.0,0.0,0.013158121054713704,0.0,0.02247191011235955,0.0,0.00299625468164794,0.050187265917602995,0.13857677902621723,0.0
281,Pennsylvania,11935.0,641339.0,15.0,0.0,53.0,63.0,115.0,228.0,3050.0,13.0,0.0,0.018609502930587413,0.0,0.01737704918032787,0.020655737704918034,0.03770491803278689,0.07475409836065573,0.0042622950819672135,0.0
282,Rhode Island,1218.0,256767.0,15.0,0.0,19.0,5.0,31.0,109.0,397.0,1.0,0.0,0.0047436002290013905,0.0,0.04785894206549118,0.012594458438287154,0.07808564231738035,0.27455919395465994,0.0025188916876574307,0.0
283,South Carolina,1716.0,170818.0,15.0,0.0,107.0,17.0,7.0,101.0,2334.0,3.0,0.0,0.010045779718765002,0.0,0.04584404455869751,0.00728363324764353,0.0029991431019708655,0.043273350471293916,0.0012853470437017994,0.0
284,South Dakota,5016.0,358855.0,15.0,0.0,27.0,47.0,41.0,260.0,2122.0,6.0,0.0,0.013977790472474955,0.0,0.012723845428840716,0.022148916116870875,0.01932139491046183,0.12252591894439209,0.002827521206409048,0.0
285,Tennessee,6484.0,452323.0,15.0,0.0,9.0,0.0,0.0,114.0,2497.0,77.0,0.0,0.014334889006307439,0.0,0.003604325190228274,0.0,0.0,0.04565478574289147,0.030837004405286344,0.0
286,Texas,44826.0,1397617.0,15.0,0.0,165.0,53.0,83.0,125.0,7632.0,130.0,0.0,0.03207316453649319,0.0,0.02161949685534591,0.006944444444444444,0.010875262054507338,0.01637840670859539,0.017033542976939202,0.0
287,Utah,17078.0,1002656.0,15.0,0.0,79.0,31.0,345.0,248.0,4694.0,30.0,0.0,0.01703276098681901,0.0,0.016829995739241585,0.006604175543246698,0.07349808265871326,0.052833404345973584,0.006391137622496805,0.0
288,Vermont,1555.0,122542.0,15.0,0.0,48.0,0.0,1.0,73.0,439.0,31.0,0.0,0.012689526856098317,0.0,0.10933940774487472,0.0,0.002277904328018223,0.1662870159453303,0.07061503416856492,0.0
289,Virginia,87608.0,4543812.0,15.0,0.0,15.0,4.0,5.0,270.0,2019.0,79.0,0.0,0.019280727283611205,0.0,0.007429420505200594,0.001981178801386825,0.0024764735017335313,0.1337295690936107,0.0391282813273898,0.0
290,Washington,1618.0,208077.0,15.0,0.0,126.0,52.0,128.0,218.0,2798.0,105.0,0.0,0.007775967550474104,0.0,0.04503216583273767,0.01858470335954253,0.045746962115797,0.07791279485346676,0.03752680486061472,0.0
291,West Virginia,10737.0,770848.0,15.0,0.0,11.0,0.0,5.0,169.0,2906.0,97.0,0.0,0.013928816057121507,0.0,0.003785271851342051,0.0,0.0017205781142463868,0.058155540261527874,0.033379215416379907,0.0
