,Season_Year,REGION,ILITOTAL,TOTAL PATIENTS,Season
188,22013,Texas,72735.0,1972914.0,Season 2013-14
189,22013,Utah,17548.0,947602.0,Season 2013-14
190,22013,Vermont,3056.0,123000.0,Season 2013-14
191,22013,Virginia,64073.0,3378822.0,Season 2013-14
192,22013,Washington,1754.0,246271.0,Season 2013-14
193,22013,West Virginia,6202.0,642309.0,Season 2013-14
194,22013,Wisconsin,3064.0,218528.0,Season 2013-14
195,22013,Wyoming,1525.0,212431.0,Season 2013-14
196,22014,Alabama,19081.0,427031.0,Season 2014-15
197,22014,Alaska,549.0,51217.0,Season 2014-15
198,22014,Arizona,16668.0,1182088.0,Season 2014-15
199,22014,Arkansas,5205.0,170716.0,Season 2014-15
200,22014,California,49959.0,1935730.0,Season 2014-15
201,22014,Colorado,1754.0,175303.0,Season 2014-15
202,22014,Connecticut,3676.0,159008.0,Season 2014-15
203,22014,Delaware,668.0,105692.0,Season 2014-15
204,22014,Georgia,18981.0,1179448.0,Season 2014-15
205,22014,Hawaii,7320.0,116561.0,Season 2014-15
206,22014,Idaho,3640.0,123756.0,Season 2014-15
207,22014,Illinois,57564.0,2640079.0,Season 2014-15
208,22014,Indiana,5966.0,364159.0,Season 2014-15
209,22014,Iowa,3124.0,817034.0,Season 2014-15
210,22014,Kansas,7553.0,274922.0,Season 2014-15
211,22014,Kentucky,5193.0,1077625.0,Season 2014-15
212,22014,Louisiana,66823.0,2319018.0,Season 2014-15
213,22014,Maine,3455.0,269650.0,Season 2014-15
214,22014,Maryland,7095.0,448753.0,Season 2014-15
215,22014,Massachusetts,14625.0,1268849.0,Season 2014-15
216,22014,Michigan,7095.0,734183.0,Season 2014-15
217,22014,Minnesota,4500.0,238254.0,Season 2014-15
218,22014,Mississippi,37065.0,967589.0,Season 2014-15
219,22014,Missouri,6123.0,293029.0,Season 2014-15
220,22014,Montana,562.0,135131.0,Season 2014-15
221,22014,Nebraska,1696.0,109317.0,Season 2014-15
222,22014,Nevada,7373.0,684718.0,Season 2014-15
223,22014,New Hampshire,871.0,199550.0,Season 2014-15
224,22014,New Jersey,8699.0,409988.0,Season 2014-15
225,22014,New Mexico,11714.0,532503.0,Season 2014-15
226,22014,New York,11532.0,611081.0,Season 2014-15
227,22014,North Carolina,10948.0,567911.0,Season 2014-15
228,22014,North Dakota,1098.0,68972.0,Season 2014-15
229,22014,Ohio,7046.0,643626.0,Season 2014-15
230,22014,Oklahoma,4406.0,133456.0,Season 2014-15
231,22014,Oregon,1054.0,139599.0,Season 2014-15
232,22014,Pennsylvania,13434.0,675692.0,Season 2014-15
233,22014,Rhode Island,1966.0,287483.0,Season 2014-15
234,22014,South Carolina,2533.0,248766.0,Season 2014-15
235,22014,South Dakota,3685.0,304162.0,Season 2014-15
236,22014,Tennessee,5924.0,466485.0,Season 2014-15
237,22014,Texas,60740.0,1798597.0,Season 2014-15
238,22014,Utah,19022.0,933318.0,Season 2014-15
239,22014,Vermont,3193.0,127978.0,Season 2014-15
240,22014,Virginia,98104.0,4285774.0,Season 2014-15
241,22014,Washington,2102.0,192252.0,Season 2014-15
242,22014,West Virginia,14162.0,718752.0,Season 2014-15
243,22014,Wisconsin,5994.0,270875.0,Season 2014-15
244,22014,Wyoming,3134.0,246511.0,Season 2014-15
245,22015,Alabama,12214.0,431946.0,Season 2015-16
246,22015,Alaska,999.0,63806.0,Season 2015-16
247,22015,Arizona,23862.0,1103093.0,Season 2015-16
248,22015,Arkansas,2804.0,156613.0,Season 2015-16
249,22015,California,41157.0,1951617.0,Season 2015-16
250,22015,Colorado,1398.0,176040.0,Season 2015-16
251,22015,Connecticut,3477.0,189037.0,Season 2015-16
252,22015,Delaware,412.0,146410.0,Season 2015-16
253,22015,Georgia,27799.0,1705451.0,Season 2015-16
254,22015,Hawaii,2039.0,78994.0,Season 2015-16
255,22015,Idaho,1007.0,99758.0,Season 2015-16
256,22015,Illinois,47412.0,2371512.0,Season 2015-16
257,22015,Indiana,3598.0,261845.0,Season 2015-16
258,22015,Iowa,416.0,80032.0,Season 2015-16
259,22015,Kansas,3897.0,295237.0,Season 2015-16
260,22015,Kentucky,7464.0,1208331.0,Season 2015-16
261,22015,Louisiana,46313.0,2308067.0,Season 2015-16
262,22015,Maine,2417.0,255624.0,Season 2015-16
263,22015,Maryland,6518.0,347954.0,Season 2015-16
264,22015,Massachusetts,11176.0,1093829.0,Season 2015-16
265,22015,Michigan,10204.0,1053645.0,Season 2015-16
266,22015,Minnesota,2929.0,230858.0,Season 2015-16
267,22015,Mississippi,25540.0,962804.0,Season 2015-16
268,22015,Missouri,4665.0,302160.0,Season 2015-16
269,22015,Montana,333.0,142360.0,Season 2015-16
270,22015,Nebraska,861.0,134444.0,Season 2015-16
271,22015,Nevada,5372.0,583384.0,Season 2015-16
272,22015,New Hampshire,874.0,198552.0,Season 2015-16
273,22015,New Jersey,4048.0,250321.0,Season 2015-16
274,22015,New Mexico,10598.0,513507.0,Season 2015-16
275,22015,New York,5767.0,401388.0,Season 2015-16
276,22015,North Carolina,9955.0,519545.0,Season 2015-16
277,22015,North Dakota,250.0,45530.0,Season 2015-16
278,22015,Ohio,6522.0,732901.0,Season 2015-16
279,22015,Oklahoma,5316.0,225820.0,Season 2015-16
280,22015,Oregon,2295.0,174417.0,Season 2015-16
281,22015,Pennsylvania,11935.0,641339.0,Season 2015-16
282,22015,Rhode Island,1218.0,256767.0,Season 2015-16
283,22015,South Carolina,1716.0,170818.0,Season 2015-16
284,22015,South Dakota,5016.0,358855.0,Season 2015-16
285,22015,Tennessee,6484.0,452323.0,Season 2015-16
286,22015,Texas,44826.0,1397617.0,Season 2015-16
287,22015,Utah,17078.0,1002656.0,Season 2015-16
288,22015,Vermont,1555.0,122542.0,Season 2015-16
289,22015,Virginia,87608.0,4543812.0,Season 2015-16
290,22015,Washington,1618.0,208077.0,Season 2015-16
291,22015,West Virginia,10737.0,770848.0,Season 2015-16
292,22015,Wisconsin,4216.0,252617.0,Season 2015-16
293,22015,Wyoming,1608.0,185701.0,Season 2015-16
294,22016,Alabama,12006.0,352609.0,Season 2016-17
295,22016,Alaska,1181.0,73995.0,Season 2016-17
296,22016,Arizona,18367.0,1095776.0,Season 2016-17
297,22016,Arkansas,4156.0,157000.0,Season 2016-17
298,22016,California,42540.0,2254616.0,Season 2016-17
