,REGION,ILITOTAL,TOTAL PATIENTS,Season,A_H1,A_H3,BVic,BYam,A_2009_H1N1,Total_Tested,B,H3N2v,ILI_Percent,A_H1_Percent,A_H3_Percent,BVic_Percent,BYam_Percent,A_2009_H1N1_Percent,B_Percent,H3N2v_Percent
177,New York,10188.0,670418.0,13.0,0.0,,,,1543.0,38331.0,1325.0,0.0,0.015196489354402775,0.0,,,,0.04025462419451619,0.03456732148913412,0.0
178,North Carolina,7761.0,559484.0,13.0,0.0,,,,229.0,619.0,11.0,0.0,0.013871710361690414,0.0,,,,0.36995153473344106,0.017770597738287562,0.0
179,North Dakota,681.0,70831.0,13.0,0.0,,,,159.0,2737.0,35.0,0.0,0.00961443435783767,0.0,,,,0.058092802338326636,0.01278772378516624,0.0
180,Ohio,4938.0,632449.0,13.0,0.0,,,,296.0,3332.0,42.0,0.0,0.007807744181744299,0.0,,,,0.08883553421368548,0.012605042016806723,0.0
181,Oklahoma,5307.0,174069.0,13.0,0.0,,,,541.0,6902.0,62.0,0.0,0.03048790996673733,0.0,,,,0.07838307736887859,0.008982903506230079,0.0
182,Oregon,1094.0,130808.0,13.0,0.0,,,,444.0,1107.0,4.0,0.0,0.008363402849978595,0.0,,,,0.4010840108401084,0.0036133694670280035,0.0
183,Pennsylvania,7753.0,626727.0,13.0,0.0,,,,991.0,8094.0,283.0,0.0,0.012370617509697205,0.0,,,,0.12243637262169509,0.03496417099085743,0.0
184,Rhode Island,1298.0,275918.0,13.0,0.0,,,,0.0,0.0,0.0,0.0,0.00470429620394465,,,,,,,
185,South Carolina,1587.0,272596.0,13.0,0.0,,,,197.0,4618.0,118.0,0.0,0.005821802227472157,0.0,,,,0.042659159809441315,0.025552187093980078,0.0
186,South Dakota,2633.0,223928.0,13.0,0.0,,,,487.0,4711.0,62.0,0.0,0.0117582437211961,0.0,,,,0.10337507960093398,0.013160687752069624,0.0
187,Tennessee,5119.0,479688.0,13.0,0.0,,,,486.0,4240.0,28.0,0.0,0.010671519821217125,0.0,,,,0.11462264150943396,0.006603773584905661,0.0
188,Texas,72735.0,1972914.0,13.0,0.0,,,,1620.0,43778.0,932.0,0.0,0.036866786894917875,0.0,,,,0.037004888300059394,0.021289232034355156,0.0
189,Utah,17548.0,947602.0,13.0,0.0,,,,1159.0,21247.0,309.0,0.0,0.018518323093450625,0.0,,,,0.054548877488586625,0.014543229632418695,0.0
190,Vermont,3056.0,123000.0,13.0,0.0,,,,73.0,124.0,1.0,0.0,0.024845528455284552,0.0,,,,0.5887096774193549,0.008064516129032258,0.0
191,Virginia,64073.0,3378822.0,13.0,0.0,,,,510.0,4727.0,78.0,0.0,0.018963117915060338,0.0,,,,0.10789083985614555,0.01650095197799873,0.0
192,Washington,1754.0,246271.0,13.0,0.0,,,,1090.0,13688.0,112.0,0.0,0.0071222352611553935,0.0,,,,0.07963179427235535,0.008182349503214495,0.0
193,West Virginia,6202.0,642309.0,13.0,0.0,,,,1014.0,12247.0,27.0,0.0,0.009655788724741519,0.0,,,,0.08279578672327917,0.002204621539968972,0.0
194,Wisconsin,3064.0,218528.0,13.0,0.0,,,,647.0,3804.0,62.0,0.0,0.014021086542685605,0.0,,,,0.17008412197686645,0.01629863301787592,0.0
195,Wyoming,1525.0,212431.0,13.0,0.0,,,,231.0,922.0,10.0,0.0,0.007178801587338948,0.0,,,,0.25054229934924077,0.010845986984815618,0.0
196,Alabama,19081.0,427031.0,14.0,0.0,,,,0.0,8800.0,213.0,0.0,0.0446829387093677,0.0,,,,0.0,0.024204545454545454,0.0
197,Alaska,549.0,51217.0,14.0,0.0,,,,4.0,4487.0,187.0,0.0,0.010719097174766191,0.0,,,,0.0008914642299977714,0.04167595275239581,0.0
198,Arizona,16668.0,1182088.0,14.0,0.0,,,,5.0,7437.0,234.0,0.0,0.014100473061227253,0.0,,,,0.000672314105149926,0.03146430012101654,0.0
199,Arkansas,5205.0,170716.0,14.0,0.0,,,,0.0,4336.0,224.0,0.0,0.030489233580918016,0.0,,,,0.0,0.05166051660516605,0.0
200,California,49959.0,1935730.0,14.0,0.0,,,,30.0,48893.0,1299.0,0.0,0.025808867972289522,0.0,,,,0.0006135847667355245,0.02656822039964821,0.0
201,Colorado,1754.0,175303.0,14.0,0.0,,,,18.0,20168.0,734.0,0.0,0.010005533276669538,0.0,,,,0.0008925029750099166,0.036394287980959936,0.0
202,Connecticut,3676.0,159008.0,14.0,0.0,,,,5.0,16224.0,365.0,0.0,0.023118333668746226,0.0,,,,0.0003081854043392505,0.022497534516765286,0.0
203,Delaware,668.0,105692.0,14.0,0.0,,,,5.0,5928.0,71.0,0.0,0.006320251296219203,0.0,,,,0.0008434547908232119,0.011977058029689609,0.0
204,Georgia,18981.0,1179448.0,14.0,0.0,,,,3.0,37005.0,1151.0,0.0,0.016093121528036845,0.0,,,,8.107012565869477e-05,0.03110390487771923,0.0
205,Hawaii,7320.0,116561.0,14.0,0.0,,,,18.0,15451.0,655.0,0.0,0.06279973576067467,0.0,,,,0.0011649731408970294,0.0423920781826419,0.0
206,Idaho,3640.0,123756.0,14.0,0.0,,,,2.0,1953.0,58.0,0.0,0.029412715343094475,0.0,,,,0.0010240655401945725,0.029697900665642603,0.0
207,Illinois,57564.0,2640079.0,14.0,0.0,,,,6.0,20467.0,895.0,0.0,0.021803892989565844,0.0,,,,0.00029315483461181413,0.043728929496262274,0.0
208,Indiana,5966.0,364159.0,14.0,0.0,,,,5.0,8120.0,181.0,0.0,0.01638295359993849,0.0,,,,0.0006157635467980296,0.02229064039408867,0.0
209,Iowa,3124.0,817034.0,14.0,0.0,,,,8.0,5427.0,344.0,0.0,0.003823586288942688,0.0,,,,0.0014741109268472453,0.06338676985443155,0.0
210,Kansas,7553.0,274922.0,14.0,0.0,,,,0.0,7987.0,351.0,0.0,0.027473246957318804,0.0,,,,0.0,0.043946412920996616,0.0
211,Kentucky,5193.0,1077625.0,14.0,0.0,,,,2.0,8994.0,169.0,0.0,0.004818930518501334,0.0,,,,0.00022237046920169,0.018790304647542805,0.0
