REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York,2010,44,80,104,15170
States,North Carolina,2010,44,169,70,26003
States,North Dakota,2010,44,38,19,5324
States,Ohio,2010,44,149,48,17913
States,Oklahoma,2010,44,49,15,3009
States,Oregon,2010,44,57,22,7452
States,Pennsylvania,2010,44,181,66,18256
States,Rhode Island,2010,44,34,21,6412
States,South Carolina,2010,44,32,22,7186
States,South Dakota,2010,44,43,19,5514
States,Tennessee,2010,44,64,51,12119
States,Texas,2010,44,1218,99,51527
States,Utah,2010,44,54,23,8284
States,Vermont,2010,44,34,10,2714
States,Virginia,2010,44,729,84,57607
States,Washington,2010,44,24,15,3052
States,West Virginia,2010,44,196,34,10653
States,Wisconsin,2010,44,60,49,5472
States,Wyoming,2010,44,25,28,4412
States,Alabama,2010,45,419,34,12102
States,Alaska,2010,45,19,8,1996
States,Arizona,2010,45,239,54,25282
States,Arkansas,2010,45,58,17,4844
States,California,2010,45,906,126,32998
States,Colorado,2010,45,139,12,19332
States,Connecticut,2010,45,14,19,4381
States,Delaware,2010,45,25,12,3146
States,Georgia,2010,45,1390,62,40726
States,Hawaii,2010,45,19,18,1618
States,Idaho,2010,45,62,13,4149
States,Illinois,2010,45,651,80,41894
States,Indiana,2010,45,97,43,12898
States,Iowa,2010,45,21,10,5016
States,Kansas,2010,45,74,43,10207
States,Kentucky,2010,45,34,15,15247
States,Louisiana,2010,45,463,44,22198
States,Maine,2010,45,22,31,6169
States,Maryland,2010,45,128,21,9004
States,Massachusetts,2010,45,187,54,25514
States,Michigan,2010,45,139,53,17232
States,Minnesota,2010,45,45,16,5487
States,Mississippi,2010,45,649,44,16510
States,Missouri,2010,45,106,31,8662
States,Montana,2010,45,6,6,2460
States,Nebraska,2010,45,105,16,3546
States,Nevada,2010,45,75,33,9314
States,New Hampshire,2010,45,16,29,5256
States,New Jersey,2010,45,169,25,7671
States,New Mexico,2010,45,186,24,7823
States,New York,2010,45,78,105,15453
States,North Carolina,2010,45,115,72,24116
States,North Dakota,2010,45,43,18,5672
States,Ohio,2010,45,86,44,16602
States,Oklahoma,2010,45,76,16,2952
States,Oregon,2010,45,54,20,6965
States,Pennsylvania,2010,45,184,63,17799
States,Rhode Island,2010,45,30,21,6284
States,South Carolina,2010,45,32,21,6261
States,South Dakota,2010,45,39,18,5246
States,Tennessee,2010,45,76,53,12801
States,Texas,2010,45,1310,97,52030
States,Utah,2010,45,40,16,6025
States,Vermont,2010,45,33,11,2928
States,Virginia,2010,45,888,88,62905
States,Washington,2010,45,40,18,3748
States,West Virginia,2010,45,201,34,9716
States,Wisconsin,2010,45,55,46,5320
States,Wyoming,2010,45,23,27,4964
States,Alabama,2010,46,434,33,12286
States,Alaska,2010,46,18,7,1870
States,Arizona,2010,46,284,55,25897
States,Arkansas,2010,46,74,18,4760
States,California,2010,46,1020,131,36175
States,Colorado,2010,46,137,9,19683
States,Connecticut,2010,46,22,19,3555
States,Delaware,2010,46,12,11,3070
States,Georgia,2010,46,1938,62,42545
States,Hawaii,2010,46,23,18,1753
States,Idaho,2010,46,98,13,5003
States,Illinois,2010,46,661,79,40492
States,Indiana,2010,46,104,42,12670
States,Iowa,2010,46,21,9,4337
States,Kansas,2010,46,63,44,10574
States,Kentucky,2010,46,78,15,16839
States,Louisiana,2010,46,539,37,19147
States,Maine,2010,46,33,31,6342
States,Maryland,2010,46,156,20,10399
States,Massachusetts,2010,46,236,51,29372
States,Michigan,2010,46,109,49,16629
States,Minnesota,2010,46,44,18,6261
States,Mississippi,2010,46,764,45,17108
States,Missouri,2010,46,101,31,8391
States,Montana,2010,46,3,6,2729
States,Nebraska,2010,46,85,16,3508
States,Nevada,2010,46,294,34,11167
States,New Hampshire,2010,46,16,31,5729
States,New Jersey,2010,46,158,24,7393
States,New Mexico,2010,46,228,24,7921
States,New York,2010,46,79,107,15692
States,North Carolina,2010,46,122,75,25177
States,North Dakota,2010,46,30,16,4657
States,Ohio,2010,46,95,45,17817
States,Oklahoma,2010,46,103,16,3074
States,Oregon,2010,46,44,19,6688
States,Pennsylvania,2010,46,170,60,17964
States,Rhode Island,2010,46,35,21,6942
States,South Carolina,2010,46,33,21,7238
States,South Dakota,2010,46,59,19,5892
States,Tennessee,2010,46,86,51,12712
States,Texas,2010,46,1121,95,49906
States,Utah,2010,46,53,14,5838
States,Vermont,2010,46,53,11,2960
States,Virginia,2010,46,898,84,58600
States,Washington,2010,46,44,16,3305
States,West Virginia,2010,46,224,36,11211
